[Simulation 1] generations = 11 | descendants = 57 | [1, 2, 5, 6, 8, 3, 9, 7, 7, 5, 3, 2, 0]
[Simulation 2650] generations = 0 | descendants = 0 | [1, 0]
[Simulation 2651] generations = 0 | descendants = 0 | [1, 0]
[Simulation 2652] generations = 1 | descendants = 1 | [1, 1, 0]
[Simulation 2653] generations = 1 | descendants = 1 | [1, 1, 0]
[Simulation 2654] generations = 3 | descendants = 4 | [1, 1, 2, 1, 0]
[Simulation 2655] generations = 0 | descendants = 0 | [1, 0]
[Simulation 2656] generations = 0 | descendants = 0 | [1, 0]
[Simulation 2657] generations = 3 | descendants = 8 | [1, 1, 3, 4, 0]
[Simulation 2658] generations = 0 | descendants = 0 | [1, 0]
[Simulation 2659] generations = 1 | descendants = 1 | [1, 1, 0]
[Simulation 2660] generations = 0 | descendants = 0 | [1, 0]
[Simulation 2661] generations = 1 | descendants = 2 | [1, 2, 0]
[Simulation 2662] generations = 1 | descendants = 1 | [1, 1, 0]
[Simulation 2663] generations = 5 | descendants = 9 | [1, 1, 1, 4, 2, 1, 0]
[Simulation 2664] generations = 0 | descendants = 0 | [1, 0]
[Simulation 2665] generations = 0 | descendants = 0 | [1, 0]
[Simulation 2666] generations = 0 | descendants = 0 | [1, 0]
[Simulation 2667] generations = 1 | descendants = 3 | [1, 3, 0]
[Simulation 2668] generations = 5 | descendants = 12 | [1, 2, 2, 2, 5, 1, 0]
[Simulation 2669] generations = 0 | descendants = 0 | [1, 0]
[Simulation 2670] generations = 1 | descendants = 1 | [1, 1, 0]
[Simulation 2671] generations = 1 | descendants = 3 | [1, 3, 0]
[Simulation 2672] generations = 0 | descendants = 0 | [1, 0]
[Simulation 2673] generations = 0 | descendants = 0 | [1, 0]
[Simulation 2674] generations = 1 | descendants = 2 | [1, 2, 0]
[Simulation 2675] generations = 0 | descendants = 0 | [1, 0]
[Simulation 2676] generations = 2 | descendants = 3 | [1, 1, 2, 0]
[Simulation 2677] generations = 0 | descendants = 0 | [1, 0]
[Simulation 2678] generations = 2 | descendants = 3 | [1, 2, 1, 0]
[Simulation 2679] generations = 5 | descendants = 9 | [1, 1, 2, 3, 2, 1, 0]
[Simulation 2680] generations = 0 | descendants = 0 | [1, 0]
[Simulation 2681] generations = 0 | descendants = 0 | [1, 0]
[Simulation 2682] generations = 15 | descendants = 59 | [1, 1, 1, 2, 3, 7, 5, 3, 9, 10, 4, 4, 3, 4, 2, 1, 0]
[Simulation 2683] generations = 0 | descendants = 0 | [1, 0]
[Simulation 2684] generations = 2 | descendants = 3 | [1, 1, 2, 0]
[Simulation 2685] generations = 3 | descendants = 7 | [1, 4, 2, 1, 0]
[Simulation 2686] generations = 1 | descendants = 1 | [1, 1, 0]
[Simulation 2687] generations = 1 | descendants = 1 | [1, 1, 0]
[Simulation 2688] generations = 0 | descendants = 0 | [1, 0]
[Simulation 2689] generations = 0 | descendants = 0 | [1, 0]
[Simulation 2690] generations = 0 | descendants = 0 | [1, 0]
[Simulation 2691] generations = 0 | descendants = 0 | [1, 0]
[Simulation 2692] generations = 2 | descendants = 5 | [1, 4, 1, 0]
[Simulation 2693] generations = 0 | descendants = 0 | [1, 0]
[Simulation 2694] generations = 0 | descendants = 0 | [1, 0]
[Simulation 2695] generations = 2 | descendants = 2 | [1, 1, 1, 0]
[Simulation 2696] generations = 0 | descendants = 0 | [1, 0]
[Simulation 2697] generations = 0 | descendants = 0 | [1, 0]
[Simulation 2698] generations = 0 | descendants = 0 | [1, 0]
[Simulation 2699] generations = 0 | descendants = 0 | [1, 0]
[Simulation 2700] generations = 2 | descendants = 2 | [1, 1, 1, 0]
[Simulation 2701] generations = 1 | descendants = 1 | [1, 1, 0]
[Simulation 2702] generations = 8 | descendants = 30 | [1, 4, 5, 7, 5, 4, 1, 3, 1, 0]
[Simulation 2703] generations = 0 | descendants = 0 | [1, 0]
[Simulation 2704] generations = 6 | descendants = 8 | [1, 1, 1, 1, 1, 1, 3, 0]
[Simulation 2705] generations = 0 | descendants = 0 | [1, 0]
[Simulation 2706] generations = 3 | descendants = 6 | [1, 2, 3, 1, 0]
[Simulation 2707] generations = 2 | descendants = 3 | [1, 2, 1, 0]
[Simulation 2708] generations = 4 | descendants = 13 | [1, 3, 4, 2, 4, 0]
[Simulation 2709] generations = 1 | descendants = 2 | [1, 2, 0]
[Simulation 2710] generations = 4 | descendants = 5 | [1, 1, 1, 2, 1, 0]
[Simulation 2711] generations = 0 | descendants = 0 | [1, 0]
[Simulation 2712] generations = 2 | descendants = 2 | [1, 1, 1, 0]
[Simulation 2713] generations = 8 | descendants = 13 | [1, 1, 2, 1, 2, 3, 2, 1, 1, 0]
[Simulation 2714] generations = 9 | descendants = 26 | [1, 1, 3, 2, 4, 6, 5, 3, 1, 1, 0]
[Simulation 2715] generations = 3 | descendants = 6 | [1, 3, 1, 2, 0]
[Simulation 2716] generations = 4 | descendants = 14 | [1, 3, 7, 3, 1, 0]
[Simulation 2717] generations = 1 | descendants = 1 | [1, 1, 0]
[Simulation 2718] generations = 12 | descendants = 102 | [1, 3, 5, 8, 13, 9, 16, 15, 12, 12, 5, 2, 2, 0]
[Simulation 2719] generations = 0 | descendants = 0 | [1, 0]
[Simulation 2720] generations = 1 | descendants = 1 | [1, 1, 0]
[Simulation 2721] generations = 7 | descendants = 31 | [1, 4, 7, 7, 7, 2, 3, 1, 0]
[Simulation 2722] generations = 0 | descendants = 0 | [1, 0]
[Simulation 2723] generations = 4 | descendants = 5 | [1, 1, 2, 1, 1, 0]
[Simulation 2724] generations = 0 | descendants = 0 | [1, 0]
[Simulation 2725] generations = 0 | descendants = 0 | [1, 0]
[Simulation 2726] generations = 0 | descendants = 0 | [1, 0]
[Simulation 2727] generations = 0 | descendants = 0 | [1, 0]
[Simulation 2728] generations = 0 | descendants = 0 | [1, 0]
[Simulation 2729] generations = 0 | descendants = 0 | [1, 0]
[Simulation 2730] generations = 2 | descendants = 4 | [1, 3, 1, 0]
[Simulation 2731] generations = 0 | descendants = 0 | [1, 0]
[Simulation 2732] generations = 0 | descendants = 0 | [1, 0]
[Simulation 2733] generations = 1 | descendants = 1 | [1, 1, 0]
[Simulation 2734] generations = 2 | descendants = 3 | [1, 1, 2, 0]
[Simulation 2735] generations = 3 | descendants = 3 | [1, 1, 1, 1, 0]
[Simulation 2736] generations = 1 | descendants = 2 | [1, 2, 0]
[Simulation 2737] generations = 4 | descendants = 10 | [1, 1, 4, 3, 2, 0]
[Simulation 2738] generations = 4 | descendants = 8 | [1, 3, 1, 2, 2, 0]
[Simulation 2739] generations = 0 | descendants = 0 | [1, 0]
[Simulation 2740] generations = 10 | descendants = 44 | [1, 3, 4, 3, 3, 5, 8, 8, 6, 2, 2, 0]
[Simulation 2741] generations = 0 | descendants = 0 | [1, 0]
[Simulation 2742] generations = 3 | descendants = 7 | [1, 4, 2, 1, 0]
[Simulation 2743] generations = 1 | descendants = 1 | [1, 1, 0]
[Simulation 2744] generations = 0 | descendants = 0 | [1, 0]
[Simulation 2745] generations = 0 | descendants = 0 | [1, 0]
[Simulation 2746] generations = 0 | descendants = 0 | [1, 0]
[Simulation 2747] generations = 2 | descendants = 4 | [1, 3, 1, 0]
[Simulation 2748] generations = 0 | descendants = 0 | [1, 0]
[Simulation 2749] generations = 0 | descendants = 0 | [1, 0]
[Simulation 2750] generations = 0 | descendants = 0 | [1, 0]
[Simulation 2751] generations = 2 | descendants = 2 | [1, 1, 1, 0]
[Simulation 2752] generations = 2 | descendants = 2 | [1, 1, 1, 0]
[Simulation 2753] generations = 5 | descendants = 10 | [1, 1, 3, 4, 1, 1, 0]
[Simulation 2754] generations = 0 | descendants = 0 | [1, 0]
[Simulation 2755] generations = 2 | descendants = 2 | [1, 1, 1, 0]
[Simulation 2756] generations = 6 | descendants = 15 | [1, 2, 4, 1, 2, 5, 1, 0]
[Simulation 2757] generations = 0 | descendants = 0 | [1, 0]
[Simulation 2758] generations = 3 | descendants = 4 | [1, 2, 1, 1, 0]
[Simulation 2759] generations = 0 | descendants = 0 | [1, 0]
[Simulation 2760] generations = 0 | descendants = 0 | [1, 0]
[Simulation 2761] generations = 9 | descendants = 23 | [1, 2, 2, 2, 2, 4, 6, 3, 1, 1, 0]
[Simulation 2762] generations = 0 | descendants = 0 | [1, 0]
[Simulation 2763] generations = 0 | descendants = 0 | [1, 0]
[Simulation 2764] generations = 3 | descendants = 10 | [1, 3, 5, 2, 0]
[Simulation 2765] generations = 11 | descendants = 34 | [1, 1, 1, 2, 3, 2, 1, 3, 6, 7, 6, 2, 0]
[Simulation 2766] generations = 1 | descendants = 1 | [1, 1, 0]
[Simulation 2767] generations = 66 | descendants = 610 | [1, 1, 1, 4, 6, 5, 3, 6, 6, 9, 9, 14, 9, 16, 10, 6, 9, 6, 9, 7, 4, 6, 7, 11, 12, 12, 14, 10, 21, 19, 11, 6, 10, 7, 12, 12, 14, 17, 24, 18, 10, 6, 3, 2, 5, 5, 9, 5, 8, 9, 11, 12, 13, 11, 16, 13, 11, 11, 10, 14, 15, 14, 6, 2, 2, 2, 2, 0]
[Simulation 2768] generations = 7 | descendants = 24 | [1, 1, 2, 4, 5, 5, 5, 2, 0]
[Simulation 2769] generations = 0 | descendants = 0 | [1, 0]
[Simulation 2770] generations = 3 | descendants = 6 | [1, 4, 1, 1, 0]
[Simulation 2771] generations = 4 | descendants = 5 | [1, 1, 1, 1, 2, 0]
[Simulation 2772] generations = 0 | descendants = 0 | [1, 0]
[Simulation 2773] generations = 0 | descendants = 0 | [1, 0]
[Simulation 2774] generations = 0 | descendants = 0 | [1, 0]
[Simulation 2775] generations = 8 | descendants = 42 | [1, 2, 4, 4, 9, 10, 4, 6, 3, 0]
[Simulation 2776] generations = 0 | descendants = 0 | [1, 0]
[Simulation 2777] generations = 8 | descendants = 48 | [1, 4, 8, 8, 6, 7, 8, 6, 1, 0]
[Simulation 2778] generations = 0 | descendants = 0 | [1, 0]
[Simulation 2779] generations = 0 | descendants = 0 | [1, 0]
[Simulation 2780] generations = 0 | descendants = 0 | [1, 0]
[Simulation 2781] generations = 38 | descendants = 315 | [1, 3, 6, 8, 12, 10, 11, 8, 7, 10, 14, 17, 6, 6, 6, 5, 7, 4, 4, 4, 10, 9, 8, 7, 13, 13, 13, 12, 15, 14, 9, 7, 8, 15, 7, 3, 2, 1, 1, 0]
[Simulation 2782] generations = 0 | descendants = 0 | [1, 0]
[Simulation 2783] generations = 0 | descendants = 0 | [1, 0]
[Simulation 2784] generations = 0 | descendants = 0 | [1, 0]
[Simulation 2785] generations = 4 | descendants = 9 | [1, 2, 4, 2, 1, 0]
[Simulation 2786] generations = 2 | descendants = 5 | [1, 3, 2, 0]
[Simulation 2787] generations = 7 | descendants = 37 | [1, 3, 4, 10, 9, 8, 2, 1, 0]
[Simulation 2788] generations = 8 | descendants = 26 | [1, 4, 4, 2, 4, 3, 5, 3, 1, 0]
[Simulation 2789] generations = 1 | descendants = 1 | [1, 1, 0]
[Simulation 2790] generations = 6 | descendants = 7 | [1, 1, 1, 1, 2, 1, 1, 0]
[Simulation 2791] generations = 7 | descendants = 24 | [1, 2, 4, 7, 7, 2, 1, 1, 0]
[Simulation 2792] generations = 7 | descendants = 22 | [1, 4, 3, 3, 4, 5, 2, 1, 0]
[Simulation 2793] generations = 13 | descendants = 35 | [1, 4, 5, 1, 1, 4, 3, 1, 2, 5, 3, 3, 2, 1, 0]
[Simulation 2794] generations = 1 | descendants = 1 | [1, 1, 0]
[Simulation 2795] generations = 0 | descendants = 0 | [1, 0]
[Simulation 2796] generations = 0 | descendants = 0 | [1, 0]
[Simulation 2797] generations = 0 | descendants = 0 | [1, 0]
[Simulation 2798] generations = 3 | descendants = 6 | [1, 3, 2, 1, 0]
[Simulation 2799] generations = 3 | descendants = 7 | [1, 2, 3, 2, 0]
[Simulation 2800] generations = 4 | descendants = 11 | [1, 2, 2, 4, 3, 0]
[Simulation 2801] generations = 1 | descendants = 1 | [1, 1, 0]
[Simulation 2802] generations = 0 | descendants = 0 | [1, 0]
[Simulation 2803] generations = 1 | descendants = 1 | [1, 1, 0]
[Simulation 2804] generations = 0 | descendants = 0 | [1, 0]
[Simulation 2805] generations = 2 | descendants = 2 | [1, 1, 1, 0]
[Simulation 2806] generations = 1 | descendants = 2 | [1, 2, 0]
[Simulation 2807] generations = 4 | descendants = 16 | [1, 4, 6, 5, 1, 0]
[Simulation 2808] generations = 0 | descendants = 0 | [1, 0]
[Simulation 2809] generations = 0 | descendants = 0 | [1, 0]
[Simulation 2810] generations = 6 | descendants = 8 | [1, 1, 2, 1, 1, 1, 2, 0]
[Simulation 2811] generations = 2 | descendants = 3 | [1, 1, 2, 0]
[Simulation 2812] generations = 8 | descendants = 52 | [1, 2, 5, 6, 7, 9, 11, 9, 3, 0]
[Simulation 2813] generations = 0 | descendants = 0 | [1, 0]
[Simulation 2814] generations = 2 | descendants = 3 | [1, 2, 1, 0]
[Simulation 2815] generations = 2 | descendants = 3 | [1, 2, 1, 0]
[Simulation 2816] generations = 0 | descendants = 0 | [1, 0]
[Simulation 2817] generations = 1 | descendants = 2 | [1, 2, 0]
[Simulation 2818] generations = 1 | descendants = 1 | [1, 1, 0]
[Simulation 2819] generations = 9 | descendants = 33 | [1, 4, 1, 1, 2, 3, 7, 11, 3, 1, 0]
[Simulation 2820] generations = 1 | descendants = 1 | [1, 1, 0]
[Simulation 2821] generations = 0 | descendants = 0 | [1, 0]
[Simulation 2822] generations = 0 | descendants = 0 | [1, 0]
[Simulation 2823] generations = 5 | descendants = 25 | [1, 4, 8, 6, 5, 2, 0]
[Simulation 2824] generations = 1 | descendants = 1 | [1, 1, 0]
[Simulation 2825] generations = 0 | descendants = 0 | [1, 0]
[Simulation 2826] generations = 10 | descendants = 49 | [1, 4, 6, 6, 3, 8, 8, 5, 5, 3, 1, 0]
[Simulation 2827] generations = 5 | descendants = 17 | [1, 1, 2, 4, 6, 4, 0]
[Simulation 2828] generations = 2 | descendants = 5 | [1, 3, 2, 0]
[Simulation 2829] generations = 0 | descendants = 0 | [1, 0]
[Simulation 2830] generations = 17 | descendants = 62 | [1, 2, 1, 3, 1, 2, 4, 5, 5, 4, 5, 8, 7, 5, 6, 2, 1, 1, 0]
[Simulation 2831] generations = 0 | descendants = 0 | [1, 0]
[Simulation 2832] generations = 0 | descendants = 0 | [1, 0]
[Simulation 2833] generations = 0 | descendants = 0 | [1, 0]
[Simulation 2834] generations = 0 | descendants = 0 | [1, 0]
[Simulation 2835] generations = 0 | descendants = 0 | [1, 0]
[Simulation 2836] generations = 0 | descendants = 0 | [1, 0]
[Simulation 2837] generations = 2 | descendants = 2 | [1, 1, 1, 0]
[Simulation 2838] generations = 0 | descendants = 0 | [1, 0]
[Simulation 2839] generations = 2 | descendants = 3 | [1, 2, 1, 0]
[Simulation 2840] generations = 0 | descendants = 0 | [1, 0]
[Simulation 2841] generations = 0 | descendants = 0 | [1, 0]
[Simulation 2842] generations = 1 | descendants = 4 | [1, 4, 0]
[Simulation 2843] generations = 4 | descendants = 12 | [1, 4, 3, 4, 1, 0]
[Simulation 2844] generations = 1 | descendants = 2 | [1, 2, 0]
[Simulation 2845] generations = 0 | descendants = 0 | [1, 0]
[Simulation 2846] generations = 0 | descendants = 0 | [1, 0]
[Simulation 2847] generations = 0 | descendants = 0 | [1, 0]
[Simulation 2848] generations = 0 | descendants = 0 | [1, 0]
[Simulation 2849] generations = 1 | descendants = 1 | [1, 1, 0]
[Simulation 2850] generations = 0 | descendants = 0 | [1, 0]
[Simulation 2851] generations = 0 | descendants = 0 | [1, 0]
[Simulation 2852] generations = 1 | descendants = 1 | [1, 1, 0]
[Simulation 2853] generations = 0 | descendants = 0 | [1, 0]
[Simulation 2854] generations = 3 | descendants = 6 | [1, 2, 3, 1, 0]
[Simulation 2855] generations = 7 | descendants = 31 | [1, 3, 6, 8, 7, 4, 2, 1, 0]
[Simulation 2856] generations = 0 | descendants = 0 | [1, 0]
[Simulation 2857] generations = 0 | descendants = 0 | [1, 0]
[Simulation 2858] generations = 7 | descendants = 37 | [1, 2, 6, 7, 7, 10, 4, 1, 0]
[Simulation 2859] generations = 0 | descendants = 0 | [1, 0]
[Simulation 2860] generations = 0 | descendants = 0 | [1, 0]
[Simulation 2861] generations = 0 | descendants = 0 | [1, 0]
[Simulation 2862] generations = 2 | descendants = 2 | [1, 1, 1, 0]
[Simulation 2863] generations = 1 | descendants = 1 | [1, 1, 0]
[Simulation 2864] generations = 0 | descendants = 0 | [1, 0]
[Simulation 2865] generations = 0 | descendants = 0 | [1, 0]
[Simulation 2866] generations = 0 | descendants = 0 | [1, 0]
[Simulation 2867] generations = 0 | descendants = 0 | [1, 0]
[Simulation 2868] generations = 0 | descendants = 0 | [1, 0]
[Simulation 2869] generations = 19 | descendants = 292 | [1, 4, 9, 15, 17, 14, 24, 28, 26, 27, 26, 20, 15, 13, 11, 12, 12, 10, 5, 4, 0]
[Simulation 2870] generations = 0 | descendants = 0 | [1, 0]
[Simulation 2871] generations = 0 | descendants = 0 | [1, 0]
[Simulation 2872] generations = 3 | descendants = 4 | [1, 1, 2, 1, 0]
[Simulation 2873] generations = 2 | descendants = 5 | [1, 2, 3, 0]
[Simulation 2874] generations = 0 | descendants = 0 | [1, 0]
[Simulation 2875] generations = 0 | descendants = 0 | [1, 0]
[Simulation 2876] generations = 4 | descendants = 8 | [1, 1, 2, 4, 1, 0]
[Simulation 2877] generations = 7 | descendants = 25 | [1, 2, 4, 5, 5, 4, 3, 2, 0]
[Simulation 2878] generations = 0 | descendants = 0 | [1, 0]
[Simulation 2879] generations = 2 | descendants = 7 | [1, 3, 4, 0]
[Simulation 2880] generations = 8 | descendants = 40 | [1, 3, 5, 7, 8, 3, 6, 4, 4, 0]
[Simulation 2881] generations = 7 | descendants = 15 | [1, 2, 3, 2, 3, 1, 1, 3, 0]
[Simulation 2882] generations = 0 | descendants = 0 | [1, 0]
[Simulation 2883] generations = 1 | descendants = 1 | [1, 1, 0]
[Simulation 2884] generations = 21 | descendants = 105 | [1, 1, 3, 1, 4, 4, 4, 4, 3, 8, 7, 10, 5, 4, 5, 8, 9, 10, 4, 5, 5, 1, 0]
[Simulation 2885] generations = 0 | descendants = 0 | [1, 0]
[Simulation 2886] generations = 0 | descendants = 0 | [1, 0]
[Simulation 2887] generations = 0 | descendants = 0 | [1, 0]
[Simulation 2888] generations = 0 | descendants = 0 | [1, 0]
[Simulation 2889] generations = 6 | descendants = 10 | [1, 2, 3, 2, 1, 1, 1, 0]
[Simulation 2890] generations = 0 | descendants = 0 | [1, 0]
[Simulation 2891] generations = 0 | descendants = 0 | [1, 0]
[Simulation 2892] generations = 0 | descendants = 0 | [1, 0]
[Simulation 2893] generations = 5 | descendants = 8 | [1, 1, 1, 2, 3, 1, 0]
[Simulation 2894] generations = 0 | descendants = 0 | [1, 0]
[Simulation 2895] generations = 0 | descendants = 0 | [1, 0]
[Simulation 2896] generations = 0 | descendants = 0 | [1, 0]
[Simulation 2897] generations = 0 | descendants = 0 | [1, 0]
[Simulation 2898] generations = 4 | descendants = 12 | [1, 3, 3, 4, 2, 0]
[Simulation 2899] generations = 0 | descendants = 0 | [1, 0]
[Simulation 2900] generations = 1 | descendants = 1 | [1, 1, 0]
[Simulation 2901] generations = 0 | descendants = 0 | [1, 0]
[Simulation 2902] generations = 0 | descendants = 0 | [1, 0]
[Simulation 2903] generations = 3 | descendants = 5 | [1, 1, 2, 2, 0]
[Simulation 2904] generations = 0 | descendants = 0 | [1, 0]
[Simulation 2905] generations = 1 | descendants = 2 | [1, 2, 0]
[Simulation 2906] generations = 0 | descendants = 0 | [1, 0]
[Simulation 2907] generations = 0 | descendants = 0 | [1, 0]
[Simulation 2908] generations = 20 | descendants = 109 | [1, 1, 4, 2, 4, 9, 6, 4, 7, 4, 6, 12, 16, 9, 6, 7, 5, 2, 2, 2, 1, 0]
[Simulation 2909] generations = 1 | descendants = 1 | [1, 1, 0]
[Simulation 2910] generations = 0 | descendants = 0 | [1, 0]
[Simulation 2911] generations = 5 | descendants = 19 | [1, 4, 3, 4, 5, 3, 0]
[Simulation 2912] generations = 0 | descendants = 0 | [1, 0]
[Simulation 2913] generations = 1 | descendants = 2 | [1, 2, 0]
[Simulation 2914] generations = 2 | descendants = 3 | [1, 2, 1, 0]
[Simulation 2915] generations = 0 | descendants = 0 | [1, 0]
[Simulation 2916] generations = 1 | descendants = 1 | [1, 1, 0]
[Simulation 2917] generations = 3 | descendants = 9 | [1, 1, 2, 6, 0]
[Simulation 2918] generations = 3 | descendants = 4 | [1, 1, 2, 1, 0]
[Simulation 2919] generations = 0 | descendants = 0 | [1, 0]
[Simulation 2920] generations = 28 | descendants = 149 | [1, 4, 6, 7, 7, 4, 6, 8, 8, 8, 8, 6, 8, 4, 4, 2, 2, 3, 4, 8, 8, 4, 4, 8, 4, 5, 4, 3, 2, 0]
[Simulation 2921] generations = 0 | descendants = 0 | [1, 0]
[Simulation 2922] generations = 0 | descendants = 0 | [1, 0]
[Simulation 2923] generations = 0 | descendants = 0 | [1, 0]
[Simulation 2924] generations = 1 | descendants = 1 | [1, 1, 0]
[Simulation 2925] generations = 0 | descendants = 0 | [1, 0]
[Simulation 2926] generations = 0 | descendants = 0 | [1, 0]
[Simulation 2927] generations = 1 | descendants = 1 | [1, 1, 0]
[Simulation 2928] generations = 0 | descendants = 0 | [1, 0]
[Simulation 2929] generations = 0 | descendants = 0 | [1, 0]
[Simulation 2930] generations = 0 | descendants = 0 | [1, 0]
[Simulation 2931] generations = 0 | descendants = 0 | [1, 0]
[Simulation 2932] generations = 32 | descendants = 233 | [1, 2, 2, 3, 3, 5, 7, 10, 6, 8, 9, 5, 3, 4, 4, 2, 1, 4, 9, 16, 20, 25, 24, 25, 14, 6, 4, 4, 3, 2, 1, 1, 1, 0]
[Simulation 2933] generations = 0 | descendants = 0 | [1, 0]
[Simulation 2934] generations = 0 | descendants = 0 | [1, 0]
[Simulation 2935] generations = 2 | descendants = 3 | [1, 2, 1, 0]
[Simulation 2936] generations = 0 | descendants = 0 | [1, 0]
[Simulation 2937] generations = 0 | descendants = 0 | [1, 0]
[Simulation 2938] generations = 24 | descendants = 139 | [1, 4, 6, 2, 4, 5, 6, 5, 12, 10, 11, 5, 8, 10, 14, 5, 6, 2, 8, 7, 3, 1, 2, 1, 2, 0]
[Simulation 2939] generations = 35 | descendants = 257 | [1, 2, 2, 3, 6, 7, 2, 1, 2, 1, 2, 3, 7, 7, 10, 9, 10, 6, 8, 17, 11, 10, 5, 13, 14, 10, 17, 11, 14, 13, 6, 10, 5, 7, 5, 1, 0]
[Simulation 2940] generations = 0 | descendants = 0 | [1, 0]
[Simulation 2941] generations = 0 | descendants = 0 | [1, 0]
[Simulation 2942] generations = 9 | descendants = 24 | [1, 3, 5, 5, 2, 2, 4, 1, 1, 1, 0]
[Simulation 2943] generations = 2 | descendants = 3 | [1, 2, 1, 0]
[Simulation 2944] generations = 1 | descendants = 1 | [1, 1, 0]
[Simulation 2945] generations = 1 | descendants = 1 | [1, 1, 0]
[Simulation 2946] generations = 0 | descendants = 0 | [1, 0]
[Simulation 2947] generations = 2 | descendants = 2 | [1, 1, 1, 0]
[Simulation 2948] generations = 1 | descendants = 2 | [1, 2, 0]
[Simulation 2949] generations = 11 | descendants = 36 | [1, 2, 3, 3, 2, 2, 2, 4, 5, 5, 4, 4, 0]
[Simulation 2950] generations = 0 | descendants = 0 | [1, 0]
[Simulation 2951] generations = 2 | descendants = 2 | [1, 1, 1, 0]
[Simulation 2952] generations = 8 | descendants = 37 | [1, 4, 5, 4, 7, 7, 6, 3, 1, 0]
[Simulation 2953] generations = 3 | descendants = 7 | [1, 2, 4, 1, 0]
[Simulation 2954] generations = 0 | descendants = 0 | [1, 0]
[Simulation 2955] generations = 1 | descendants = 1 | [1, 1, 0]
[Simulation 2956] generations = 0 | descendants = 0 | [1, 0]
[Simulation 2957] generations = 1 | descendants = 1 | [1, 1, 0]
[Simulation 2958] generations = 4 | descendants = 7 | [1, 1, 1, 4, 1, 0]
[Simulation 2959] generations = 4 | descendants = 9 | [1, 1, 2, 3, 3, 0]
[Simulation 2960] generations = 30 | descendants = 157 | [1, 3, 3, 3, 4, 5, 10, 12, 7, 12, 10, 9, 6, 3, 2, 6, 8, 11, 8, 4, 4, 4, 4, 2, 3, 4, 4, 1, 1, 3, 1, 0]
[Simulation 2961] generations = 0 | descendants = 0 | [1, 0]
[Simulation 2962] generations = 4 | descendants = 13 | [1, 2, 4, 5, 2, 0]
[Simulation 2963] generations = 0 | descendants = 0 | [1, 0]
[Simulation 2964] generations = 2 | descendants = 5 | [1, 3, 2, 0]
[Simulation 2965] generations = 0 | descendants = 0 | [1, 0]
[Simulation 2966] generations = 0 | descendants = 0 | [1, 0]
[Simulation 2967] generations = 0 | descendants = 0 | [1, 0]
[Simulation 2968] generations = 0 | descendants = 0 | [1, 0]
[Simulation 2969] generations = 0 | descendants = 0 | [1, 0]
[Simulation 2970] generations = 0 | descendants = 0 | [1, 0]
[Simulation 2971] generations = 0 | descendants = 0 | [1, 0]
[Simulation 2972] generations = 1 | descendants = 1 | [1, 1, 0]
[Simulation 2973] generations = 1 | descendants = 1 | [1, 1, 0]
[Simulation 2974] generations = 0 | descendants = 0 | [1, 0]
[Simulation 2975] generations = 44 | descendants = 333 | [1, 1, 2, 1, 2, 1, 1, 1, 3, 5, 4, 12, 5, 6, 8, 5, 5, 6, 6, 8, 9, 6, 5, 9, 13, 13, 17, 16, 21, 21, 16, 10, 13, 11, 12, 11, 5, 6, 5, 6, 11, 7, 3, 2, 3, 0]
[Simulation 2976] generations = 3 | descendants = 5 | [1, 3, 1, 1, 0]
[Simulation 2977] generations = 2 | descendants = 4 | [1, 3, 1, 0]
[Simulation 2978] generations = 0 | descendants = 0 | [1, 0]
[Simulation 2979] generations = 0 | descendants = 0 | [1, 0]
[Simulation 2980] generations = 0 | descendants = 0 | [1, 0]
[Simulation 2981] generations = 4 | descendants = 9 | [1, 3, 3, 1, 2, 0]
[Simulation 2982] generations = 3 | descendants = 7 | [1, 3, 3, 1, 0]
[Simulation 2983] generations = 1 | descendants = 1 | [1, 1, 0]
[Simulation 2984] generations = 0 | descendants = 0 | [1, 0]
[Simulation 2985] generations = 1 | descendants = 1 | [1, 1, 0]
[Simulation 2986] generations = 0 | descendants = 0 | [1, 0]
[Simulation 2987] generations = 0 | descendants = 0 | [1, 0]
[Simulation 2988] generations = 10 | descendants = 58 | [1, 1, 4, 10, 6, 9, 10, 7, 4, 6, 1, 0]
[Simulation 2989] generations = 0 | descendants = 0 | [1, 0]
[Simulation 2990] generations = 2 | descendants = 2 | [1, 1, 1, 0]
[Simulation 2991] generations = 19 | descendants = 84 | [1, 1, 2, 4, 3, 1, 4, 8, 8, 10, 7, 9, 5, 8, 4, 2, 1, 1, 4, 2, 0]
[Simulation 2992] generations = 0 | descendants = 0 | [1, 0]
[Simulation 2993] generations = 2 | descendants = 3 | [1, 2, 1, 0]
[Simulation 2994] generations = 0 | descendants = 0 | [1, 0]
[Simulation 2995] generations = 0 | descendants = 0 | [1, 0]
[Simulation 2996] generations = 0 | descendants = 0 | [1, 0]
[Simulation 2997] generations = 0 | descendants = 0 | [1, 0]
[Simulation 2998] generations = 0 | descendants = 0 | [1, 0]
[Simulation 2999] generations = 0 | descendants = 0 | [1, 0]
[Simulation 3000] generations = 3 | descendants = 5 | [1, 1, 1, 3, 0]
[Simulation 3001] generations = 0 | descendants = 0 | [1, 0]
[Simulation 3002] generations = 0 | descendants = 0 | [1, 0]
[Simulation 3003] generations = 1 | descendants = 1 | [1, 1, 0]
[Simulation 3004] generations = 1 | descendants = 1 | [1, 1, 0]
